pickup_location,drop_location,AverageDistance
"Newark Airport, EWR","Newark Airport, EWR",0
"Newark Airport, EWR","Grymes Hill/Clifton, Boro Zone, Staten Island",16.14
"Newark Airport, EWR","Highbridge, Boro Zone, Bronx",24.75
"Newark Airport, EWR","Richmond Hill, Boro Zone, Queens",37.12
"Newark Airport, EWR","Washington Heights South, Boro Zone, Manhattan",29.65
"Newark Airport, EWR","Yorkville West, Yellow Zone, Manhattan",18.73
"Jamaica Bay, Boro Zone, Queens","Broad Channel, Boro Zone, Queens",0.36
"Allerton/Pelham Gardens, Boro Zone, Bronx","Allerton/Pelham Gardens, Boro Zone, Bronx",0.805546218
"Allerton/Pelham Gardens, Boro Zone, Bronx","Astoria, Boro Zone, Queens",11.67714286
"Allerton/Pelham Gardens, Boro Zone, Bronx","Baisley Park, Boro Zone, Queens",13.26
"Allerton/Pelham Gardens, Boro Zone, Bronx","Bay Ridge, Boro Zone, Brooklyn",28.415
"Allerton/Pelham Gardens, Boro Zone, Bronx","Bayside, Boro Zone, Queens",9.79
"Allerton/Pelham Gardens, Boro Zone, Bronx","Bedford, Boro Zone, Brooklyn",21.14
"Allerton/Pelham Gardens, Boro Zone, Bronx","Bedford Park, Boro Zone, Bronx",2.677692308
"Allerton/Pelham Gardens, Boro Zone, Bronx","Belmont, Boro Zone, Bronx",2.310454545
"Allerton/Pelham Gardens, Boro Zone, Bronx","Bensonhurst East, Boro Zone, Brooklyn",29.33666667
"Allerton/Pelham Gardens, Boro Zone, Bronx","Bloomingdale, Yellow Zone, Manhattan",11.39
"Allerton/Pelham Gardens, Boro Zone, Bronx","Brighton Beach, Boro Zone, Brooklyn",31.185
"Allerton/Pelham Gardens, Boro Zone, Bronx","Bronx Park, Boro Zone, Bronx",1.8125
"Allerton/Pelham Gardens, Boro Zone, Bronx","Bronxdale, Boro Zone, Bronx",1.414347826
"Allerton/Pelham Gardens, Boro Zone, Bronx","Brooklyn Heights, Boro Zone, Brooklyn",18.93
"Allerton/Pelham Gardens, Boro Zone, Bronx","Brownsville, Boro Zone, Brooklyn",20.82833333
"Allerton/Pelham Gardens, Boro Zone, Bronx","Cambria Heights, Boro Zone, Queens",16.44
"Allerton/Pelham Gardens, Boro Zone, Bronx","Canarsie, Boro Zone, Brooklyn",22.75833333
"Allerton/Pelham Gardens, Boro Zone, Bronx","Central Harlem, Boro Zone, Manhattan",9.654615385
"Allerton/Pelham Gardens, Boro Zone, Bronx","Central Harlem North, Boro Zone, Manhattan",8.651428571
"Allerton/Pelham Gardens, Boro Zone, Bronx","Central Park, Yellow Zone, Manhattan",10.21666667
"Allerton/Pelham Gardens, Boro Zone, Bronx","Chinatown, Yellow Zone, Manhattan",17.27
"Allerton/Pelham Gardens, Boro Zone, Bronx","City Island, Boro Zone, Bronx",3.5025
"Allerton/Pelham Gardens, Boro Zone, Bronx","Claremont/Bathgate, Boro Zone, Bronx",4.496956522
"Allerton/Pelham Gardens, Boro Zone, Bronx","Clinton East, Yellow Zone, Manhattan",14.01285714
"Allerton/Pelham Gardens, Boro Zone, Bronx","Clinton West, Yellow Zone, Manhattan",15.30842105
"Allerton/Pelham Gardens, Boro Zone, Bronx","Co-Op City, Boro Zone, Bronx",2.143841463
"Allerton/Pelham Gardens, Boro Zone, Bronx","Columbia Street, Boro Zone, Brooklyn",19.74
"Allerton/Pelham Gardens, Boro Zone, Bronx","Coney Island, Boro Zone, Brooklyn",27.99555556
"Allerton/Pelham Gardens, Boro Zone, Bronx","Country Club, Boro Zone, Bronx",2.58125
"Allerton/Pelham Gardens, Boro Zone, Bronx","Crotona Park, Boro Zone, Bronx",3.62
"Allerton/Pelham Gardens, Boro Zone, Bronx","Crotona Park East, Boro Zone, Bronx",4.183571429
"Allerton/Pelham Gardens, Boro Zone, Bronx","Crown Heights North, Boro Zone, Brooklyn",21.42
"Allerton/Pelham Gardens, Boro Zone, Bronx","Cypress Hills, Boro Zone, Brooklyn",16.23
"Allerton/Pelham Gardens, Boro Zone, Bronx","East Chelsea, Yellow Zone, Manhattan",17.08
"Allerton/Pelham Gardens, Boro Zone, Bronx","East Concourse/Concourse Village, Boro Zone, Bronx",7.516923077
"Allerton/Pelham Gardens, Boro Zone, Bronx","East Flatbush/Farragut, Boro Zone, Brooklyn",21.61
"Allerton/Pelham Gardens, Boro Zone, Bronx","East Flatbush/Remsen Village, Boro Zone, Brooklyn",20
"Allerton/Pelham Gardens, Boro Zone, Bronx","East Harlem North, Boro Zone, Manhattan",8.144230769
"Allerton/Pelham Gardens, Boro Zone, Bronx","East Harlem South, Boro Zone, Manhattan",9.938392857
"Allerton/Pelham Gardens, Boro Zone, Bronx","East New York, Boro Zone, Brooklyn",14.55
"Allerton/Pelham Gardens, Boro Zone, Bronx","East Tremont, Boro Zone, Bronx",3.781142857
"Allerton/Pelham Gardens, Boro Zone, Bronx","East Williamsburg, Boro Zone, Brooklyn",16.96428571
"Allerton/Pelham Gardens, Boro Zone, Bronx","Eastchester, Boro Zone, Bronx",1.905353535
"Allerton/Pelham Gardens, Boro Zone, Bronx","Far Rockaway, Boro Zone, Queens",23.458
"Allerton/Pelham Gardens, Boro Zone, Bronx","Financial District North, Yellow Zone, Manhattan",18.79333333
